Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,214,9,T:System.Windows.Forms.Keys,,,,,return this.keyCode == Keys.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,214,9,F:System.Windows.Forms.Keys.None,,,,,return this.keyCode == Keys.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,214,9,T:System.Windows.Forms.Keys,,,,,return this.keyCode == Keys.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,F:System.Windows.Forms.Keys.D9,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,F:System.Windows.Forms.Keys.D8,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,F:System.Windows.Forms.Keys.D7,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,T:System.Windows.Forms.Keys,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,177,3,F:System.Windows.Forms.Keys.D6,,,,,switch (this.keyCode)  			{  				case Keys.D0:  				case Keys.D1:  				case Keys.D2:  				case Keys.D3:  				case Keys.D4:  				case Keys.D5:  				case Keys.D6:  				case Keys.D7:  				case Keys.D8:  				case Keys.D9:  					// Strip the first character  					keyName = keyName.Substring(1);  					break;  				default:  					// Leave everything alone  					break;  			}
